Particular,FY2024,FY2025,FY2026
Cash and balances with RBI,24300,26850,28400
Balances with banks and money at call,9150,10420,11980
Investments,148600,167590,189010
Advances,392400,441700,498250
Fixed assets,4820,5150,5540
Other assets,18730,20580,22930
Total assets,598000,672290,756110
Deposits,468900,526400,592300
Borrowings,62100,68900,75400
Other liabilities and provisions,21400,23700,26100
Total liabilities,552400,619000,693800
Share capital,1280,1290,1300
Reserves and surplus,44320,52000,61010
Total equity,45600,53290,62310
Total liabilities and equity,598000,672290,756110
