Particular,FY2024,FY2025,FY2026
Profit for the year,8740,10260,12020
Depreciation and amortisation,620,680,745
Provisions and contingencies,4210,4050,3780
Changes in working capital and other items,-1170,-110,-295
Net cash from operating activities,12400,14880,16250
Purchase of fixed assets,-880,-1010,-1135
Net investment in securities,-5420,-6410,-7765
Net cash from investing activities,-6300,-7420,-8900
Proceeds from issue of share capital,150,160,170
Repayment of borrowings,-320,-1220,-1400
Dividends paid,-2580,-2580,-3010
Net cash from financing activities,-2750,-3640,-4240
Net increase in cash and cash equivalents,3350,3820,3110
Opening cash and cash equivalents,30100,33450,37270
Closing cash and cash equivalents,33450,37270,40380
