Particular,FY2024,FY2025,FY2026
Cash and balances with RBI,13200,15400,17600
Balances with banks and money at call,5100,6250,7480
Investments,80080,90026,102745
Advances,214000,258000,309000
Fixed assets,2740,3080,3460
Other assets,10600,12400,14500
Total assets,325720,385156,454785
Deposits,252000,300000,356000
Borrowings,38400,45200,53100
Other liabilities and provisions,11900,13800,15900
Total liabilities,302300,359000,425000
Share capital,820,836,850
Reserves and surplus,22600,25320,28935
Total equity,23420,26156,29785
Total liabilities and equity,325720,385156,454785
