Particular,FY2024,FY2025,FY2026
Profit for the year,2760,3660,4695
Depreciation and amortisation,410,470,545
Provisions and contingencies,2980,3140,3260
Changes in working capital and other items,160,1900,1920
Net cash from operating activities,6310,9170,10420
Purchase of fixed assets,-640,-730,-840
Net investment in securities,-3180,-3960,-4820
Net cash from investing activities,-3820,-4690,-5660
Proceeds from issue of share capital,110,120,130
Repayment of borrowings,-240,-310,-380
Dividends paid,-860,-940,-1080
Net cash from financing activities,-990,-1130,-1330
Net increase in cash and cash equivalents,1500,3350,3430
Opening cash and cash equivalents,16800,18300,21650
Closing cash and cash equivalents,18300,21650,25080
