Metric,FY2024,FY2025,FY2026,Basis
Net interest margin %,3.59,3.59,3.57,Net interest income / (Advances + Investments) x 100
Cost to income %,53.55,53.78,54.23,Total operating expenses / Total income x 100
Return on assets %,0.85,0.95,1.03,Profit for the year / Total assets x 100
Return on equity %,11.78,13.99,15.76,Profit for the year / Total equity x 100
Credit cost %,1.39,1.22,1.06,Provisions and contingencies / Advances x 100
Credit to deposit %,84.92,86.0,86.8,Advances / Deposits x 100
Total income growth %,-,19.09,18.82,Year on year change in Total income
Profit growth %,-,32.61,28.28,Year on year change in Profit for the year
Advances growth %,-,20.56,19.77,Year on year change in Advances
Deposits growth %,-,19.05,18.67,Year on year change in Deposits
