Metric,FY2024,FY2025,FY2026,Basis
Net interest margin %,3.84,3.79,3.71,Net interest income / (Advances + Investments) x 100
Cost to income %,43.31,43.3,43.11,Total operating expenses / Total income x 100
Return on assets %,1.46,1.53,1.59,Profit for the year / Total assets x 100
Return on equity %,19.17,21.4,19.29,Profit for the year / Total equity x 100
Credit cost %,1.07,0.92,0.76,Provisions and contingencies / Advances x 100
Credit to deposit %,83.69,83.91,84.12,Advances / Deposits x 100
Total income growth %,-,11.74,11.35,Year on year change in Total income
Profit growth %,-,17.39,17.15,Year on year change in Profit for the year
Advances growth %,-,12.56,12.8,Year on year change in Advances
Deposits growth %,-,12.26,12.52,Year on year change in Deposits
